Well_Number,Field,TVD_ft,WHP_psi,BHP_psi,WHT_C,BHT_C
2,A,,,,,
29,A,,,,,
56,A,,,,,
135,A,,,,,
179,A,,,,,
194,A,,,,,
204,A,,,,,
218,A,,,,,
225,A,,,,,
234,A,,,,,
250,A,,,,,
254,A,,,,,
255,A,,,,,
258,A,,,,,
267,A,,,,,
283,A,,,,,
317,A,,,,,
342,A,,,,,
361,A,,,,,
390,A,,,,,
391,A,,,,,
397,A,,,,,
398,A,,,,,
402,A,,,,,
447,A,,,,,
450,A,,,,,
457,A,,,,,
458,A,,,,,
468,A,,,,,
473,A,,,,,
478,A,,,,,
496,A,,,,,
498,A,,,,,
500,A,,,,,
522,A,,,,,
523,A,,,,,
526,A,,,,,
550,A,,,,,
556,A,,,,,
560,A,,,,,
35,B,,,,,
54,B,,,,,
77,B,,,,,
90,B,,,,,
119,B,,,,,
159,B,,,,,
169,B,,,,,
174,B,,,,,
180,B,,,,,
207,B,,,,,
276,B,,,,,
278,B,,,,,
279,B,,,,,
291,B,,,,,
292,B,,,,,
299,B,,,,,
310,B,,,,,
311,B,,,,,
330,B,,,,,
333,B,,,,,
343,B,,,,,
361,B,,,,,
369,B,,,,,
381,B,,,,,
389,B,,,,,
403,B,,,,,
439,B,,,,,
452,B,,,,,
455,B,,,,,
457,B,,,,,
480,B,,,,,
489,B,,,,,
490,B,,,,,
508,B,,,,,
517,B,,,,,
518,B,,,,,
519,B,,,,,
523,B,,,,,
524,B,,,,,
526,B,,,,,
531,B,,,,,
541,B,,,,,
543,B,,,,,
555,B,,,,,
